"Fund Category","Fund Name","AmfiCode","Plan Name","NAV Date","NAV Amount"
"Hybrid","HDFC Hybrid Debt Fund","102148","HDFC Hybrid Debt Fund - IDCW Monthly","25 Nov, 2025","14.2078"
"Hybrid","HDFC Hybrid Debt Fund","119119","HDFC Hybrid Debt Fund - IDCW Monthly - Direct Plan","25 Nov, 2025","15.8815"
"Hybrid","HDFC Hybrid Debt Fund","102149","HDFC Hybrid Debt Fund - IDCW Quarterly","25 Nov, 2025","15.0043"
"Hybrid","HDFC Hybrid Debt Fund","119120","HDFC Hybrid Debt Fund - IDCW Quarterly - Direct Plan","25 Nov, 2025","16.7695"
"Hybrid","HDFC Hybrid Debt Fund","102147","HDFC Hybrid Debt Fund - Growth Plan","25 Nov, 2025","83.4110"
"Hybrid","HDFC Hybrid Debt Fund","119118","HDFC Hybrid Debt Fund - Growth Option - Direct Plan","25 Nov, 2025","88.9283"
"Hybrid","HDFC Multi-Asset Fund","103130","HDFC Multi-Asset Fund - Regular Plan - IDCW Option","25 Nov, 2025","18.0130"
"Hybrid","HDFC Multi-Asset Fund","119130","HDFC Multi-Asset Fund - Direct Plan - IDCW Option","25 Nov, 2025","22.3440"
"Hybrid","HDFC Multi-Asset Fund","103131","HDFC Multi-Asset Fund - Regular Plan - Growth Option","25 Nov, 2025","74.8610"
"Hybrid","HDFC Multi-Asset Fund","119131","HDFC Multi-Asset Fund - Direct Plan - Growth Option","25 Nov, 2025","83.8580"
"Solution Oriented","HDFC Retirement Savings Fund - Hybrid Equity Plan","136463","HDFC Retirement Savings Fund - Hybrid - Equity Plan -Regular Plan- Growth Option","25 Nov, 2025","39.4020"
"Solution Oriented","HDFC Retirement Savings Fund - Hybrid Equity Plan","136464","HDFC Retirement Savings Fund -Hybrid - Equity Plan -Direct Plan- Growth Option","25 Nov, 2025","44.9010"
"Solution Oriented","HDFC Retirement Savings Fund Equity Plan","136090","HDFC Retirement Savings Fund -Equity Plan -Regular Plan - Growth Option","25 Nov, 2025","51.6520"
"Solution Oriented","HDFC Retirement Savings Fund Equity Plan","136094","HDFC Retirement Savings Fund - Equity Plan - Direct Plan -Growth Option","25 Nov, 2025","58.7120"
"Solution Oriented","HDFC Children's Fund","100900","HDFC Children's Gift Fund - Regular Plan (Lock-in)","25 Nov, 2025","296.8790"
"Solution Oriented","HDFC Children's Fund","119066","HDFC Children's Gift Fund - Direct Plan (Lock-in)","25 Nov, 2025","330.2000"
"Solution Oriented","HDFC Retirement Savings Fund- Hybrid- Debt Plan","136466","HDFC Retirement Savings Fund - Hybrid - Debt Plan - Regular Plan- Growth Option","25 Nov, 2025","21.9388"
"Solution Oriented","HDFC Retirement Savings Fund- Hybrid- Debt Plan","136465","HDFC Retirement Savings Fund -Hybrid - Debt Plan - Direct Plan - Growth Option","25 Nov, 2025","24.8450"
"Fund of Funds","HDFC Gold ETF Fund of Fund","115934","HDFC Gold Fund - Regular Plan - Growth Option","25 Nov, 2025","37.2485"
